Date,Open,High,Low,Close
11/22/2016,100.77,101.32,100.65,101.0
11/21/2016,101.3,101.4,100.74,100.88
11/18/2016,100.97,101.48,100.83,101.21
11/17/2016,100.26,101.01,99.96,100.95
11/16/2016,100.18,100.57,99.9,100.3
11/15/2016,99.8,100.26,99.45,100.14
11/14/2016,99.0,100.22,99.21,99.97
11/11/2016,98.85,99.13,98.54,98.99
11/10/2016,98.61,99.08,98.31,98.86
11/09/2016,97.68,98.7,95.89,98.62
11/08/2016,97.74,98.0,97.55,97.97
11/07/2016,96.89,97.87,97.22,97.74
11/04/2016,97.17,97.35,96.89,96.9
11/03/2016,97.37,97.46,97.04,97.15
11/02/2016,97.75,97.8,97.18,97.38
11/01/2016,98.39,98.48,97.64,97.74
